butan_1_ol,-3.66
heptan_1_ol,-5.6
hexan_1_ol,-4.89
pentan_1_ol,-4.09
propan_1_ol,-3.01
12_dichlorobenzene,-6.01
14_dichlorobenzene,-5.81
butanone,-3.36
heptan_2_one,-5.22
hexan_2_one,-4.55
octan_2_one,-5.68
pentan_2_one,-4.07
33_dimethylbutan_2_one,-4.3
propanone,-2.61
acetonitrile,-2.06
acetophenone,-6.14
aniline,-5.38
anisole,-5.35
anthracene,-10
benzaldehyde,-5.5
benzamide,-7.26
benzene,-4
benzonitrile,-5.33
bromobenzene,-5.72
butanoic_acid,-5.05
n_butyl_acetate,-4.83
n_butylamine,-3.55
chlorobenzene,-5.15
ethanol,-2.15
ethyl_acetate,-3.5
ethylamine,-2.09
fluorobenzene,-4.13
hexanoic_acid,-6.54
iodobenzene,-6.27
m_cresol,-5.01
m_xylene,-5.67
methanol,-1.29
methyl_acetate,-2.97
methyl_hexanoate,-5.63
methyl_pentanoate,-4.92
methyl_propanoate,-3.63
n_heptane,-4.65
naphthalene,-7.02
nitrobenzene,-6.14
o_cresol,-6.01
o_xylene,-5.52
p_cresol,-5.77
p_xylene,-5.52
pentanoic_acid,-5.23
phenol,-5.32
propanoic_acid,-4.06
n_propyl_acetate,-4.09
n_propylamine,-3.03
pyridine,-4.28
thiophene,-4.09
toluene,-4.78
triethyl_phosphate,-6.67
trimethyl_phosphate,-5.59
