14_dioxane,-5.21
2_methylpropan_2_ol,-3.7
2_methylpyridine,-5.86
2_naphthol,-10.48
26_dimethylpyridine,-6.39
35_dimethylpyridine,-7.64
4_bromophenol,-8.81
4_hydroxybenzaldehyde,-9.73
4_methylpyridine,-6.17
acetic_acid,-4.02
aniline,-6.88
anthracene,-11.13
benzaldehyde,-6.88
benzamide,-9.93
benzene,-4.55
butan_1_ol,-4.45
butanoic_acid,-5.3
butanone,-4.46
cyclohexane,-4.05
diethylamine,-4.02
dimethylamine,-3.01
ethanol,-3.42
ethyl_acetate,-4.53
ethylamine,-2.73
heptan_1_ol,-6.85
heptan_2_one,-6.36
hexan_1_ol,-6.13
hexan_2_one,-5.76
hexanoic_acid,-6.94
hydrazine,-4.02
m_cresol,-6.66
methanol,-2.53
methyl_acetate,-4.04
methyl_benzoate,-6.27
methyl_hexanoate,-6.47
methyl_pentanoate,-5.83
methyl_propanoate,-4.58
methylamine,-2.66
n_butyl_acetate,-5.68
n_heptane,-4.5
n_hexane,-3.62
N_methylaniline,-6.64
n_octane,-5.35
n_pentane,-2.99
n_propyl_acetate,-5.21
n_propylamine,-3.68
nitrobenzene,-7.6
nitromethane,-4.5
o_cresol,-7.44
octan_1_ol,-8.06
p_cresol,-7.35
pentan_1_ol,-5.1
pentan_2_one,-5.14
pentanoic_acid,-6.01
phenol,-7.12
piperidine,-5.03
propan_1_ol,-3.87
propanoic_acid,-4.75
propanone,-3.79
pyrene,-12.91
pyridine,-5.28
toluene,-5.32
triethyl_phosphate,-8.58
trimethyl_phosphate,-8.02
trimethylamine,-2.8
