14_dioxane,-4.9,146.316
butanone,-4.23,148.104
2_nitropropane,-59.9,147.577
222_trifluoroethanol,-56.1,125.684
pentan_3_one,-59,167.761
4_nitroaniline,-47.4,184.538
4_nitrophenol,-45.4,180.191
ethanamide,-58,113.594
acetic_acid,-59.2,108.442
propanone,-60.4,120.603
acetonitrile,-54.9,92.234
ammonia,-93.9,67.539
aniline,-52.9,155.573
aniline,-79.8,164.476
benzamide,-55.6,177.797
dimethyl_sulfoxide,-7.63,132.751
ethanol,-5.25,110.185
imidazole,-56.7,113.729
methanol,-67.6,80.278
methylamine,-82.4,95.589
n_octane,-2.84,243.846
nitromethane,-5.66,106.242
p_cresol,-53.9,175.193
phenol,-54.2,151.222
pyridine,-67.2,140.86
2_methylpropan_2_ol,-56.1,150.158
thiophenol,-53.8,163.604
toluene,-4.42,166.45
Li,-130.2,13.2
Na,-104.54,23.6
K,-87.237,36.5
Rb,-81.118,41.3
Cs,76.243,49.1
Cl,63.026,79.4
Br,59.894,85.5
I,55.592,102.8
