11_dichloroethene,-3.24
14_dioxane,-4.68
4_nitroaniline,-12.93
acetonitrile,-3.95
aniline,-7.19
anthracene,-10.20
benzene,-3.79
biphenyl,-8.29
Br,-62.09
bromoethane,-3.03
butan_1_ol,-6.35
butanone,-4.32
chlorobenzene,-3.30
Cl,-67.83
Cs,-69.55
cyclohexane,-3.47
dimethylamine,-3.27
ethane,-0.59
ethanol,-5.04
I,-55.00
iodoethane,-3.53
iodomethane,-2.99
K,-80.21
Li,-123.81
methanol,-4.64
n_butane,-1.91
n_heptane,-3.69
n_hexane,-3.05
n_octane,-4.23
n_pentane,-2.42
Na,-97.99
naphthalene,-7.14
nitromethane,-4.34
p_xylene,-5.08
phenanthrene,-10.09
propan_1_ol,-5.72
propanone,-3.77
pyrene,-11.29
pyridine,-5.70
Rb,-74.81
tetrachloromethane,-3.75
toluene,-4.57
trichloromethane,-4.17
triethylamine,-4.87
trimethylamine,0.44
