1_bromo_2_chloroethane,-1.95,244.325,85.723,106.974,1.79,-1.77,0.02
1_bromo_2_methylpropane,-0.03,276.281,116.451,129.455,2.19,-0.95,1.24
1_bromobutane,-0.4,289.875,117.456,135.97,2.65,-0.97,1.68
1_bromoheptane,0.34,388.135,183.307,197.604,2.63,-0.97,1.66
1_bromohexane,0.18,355.55,161.361,177.132,2.75,-0.97,1.78
1_bromooctane,0.52,420.713,205.205,218.108,2.89,-0.97,1.92
1_bromopentane,-0.1,323.153,139.587,156.777,2.44,-0.96,1.48
1_bromopropane,-0.56,257.357,95.551,115.527,2.27,-0.98,1.29
1_chloro_222_trifluoroethane,0.06,241.315,87.524,106.165,2.43,-2.27,0.16
1_chlorobutane,-0.16,284.338,113.875,132.583,2.21,-1.22,0.99
1_chloroheptane,0.29,382.626,179.739,194.23,2.74,-1.21,1.53
1_chlorohexane,0,346.028,157.524,171.804,2.46,-1.23,1.23
1_chloropentane,-0.07,314.347,135.85,151.831,2.4,-1.22,1.18
1_chloropropane,-0.33,248.581,91.94,110.598,2.17,-1.25,0.92
1_ethylnaphthalene,-2.4,380.458,189.821,197.855,1.61,-4.61,-3
1_iodobutane,-0.25,298.809,123.616,141.582,2.41,-1.83,0.58
1_iodoheptane,0.27,397.16,189.511,203.246,2.99,-1.8,1.19
1_iodohexane,0.08,364.533,167.522,182.761,2.47,-1.81,0.66
1_iodopentane,-0.14,332.149,145.747,162.415,2.48,-1.82,0.66
1_iodopropane,-0.53,266.308,101.727,121.156,1.87,-1.87,0
1_methyl_imidazole,-8.41,252.912,91.948,112.683,0.73,-7.06,-6.33
1_methyl_pyrrole,-2.89,263.801,98.05,119.118,1.31,-3.9,-2.59
1_methylcyclohexene,0.67,312.121,140.696,152.552,1.99,-0.66,1.33
1_methylnaphthalene,-2.44,352.317,166.681,179.32,1.28,-4.52,-3.24
1_naphthol,-7.67,333.263,152.384,166.743,0.8,-8.31,-7.51
1_naphthylamine,-7.28,335.935,154.764,168.619,0.87,-8.63,-7.76
1_nitrobutane,-3.09,300.987,124.107,142.796,0.92,-2.43,-1.51
1_nitropentane,-2.82,333.209,145.935,163.062,1.11,-2.4,-1.29
1_nitropropane,-3.34,268.515,102.2,122.367,1.06,-2.44,-1.38
11_diacetoxyethane,-4.97,370.845,161.893,183.28,1.62,-9.52,-7.9
11_dichloroethane,-0.84,239.215,84.571,104.421,1.81,-1.64,0.17
11_dichloroethene,0.25,229.294,76.056,97.757,2.09,-0.85,1.24
11_diethoxyethane,-3.28,367.308,159.067,181.02,2.39,-4.57,-2.18
11_difluoroethane,-0.11,213.302,67.474,88.345,2.6,-2.41,0.19
111_trichloroethane,-0.19,259.566,101.256,117.914,1.88,-1.13,0.75
111_trifluoro_222_trimethoxyethane,-0.8,333.991,156.961,165.6,2.31,-4.57,-2.26
111_trifluoropropan_2_ol,-4.16,258.479,101.601,117.687,2.49,-6.05,-3.56
111_trimethoxyethane,-4.42,318.573,141.479,154.856,1.66,-5.55,-3.89
