12_dichloroethane,-4.45
12_ethanediol,-6.2
14_dichlorobenzene,-6.18
14_dioxane,-4.67
2_chlorophenol,-7.34
2_methoxyethanol,-5.12
2_methylpropan_2_ol,-4.8
2_naphthol,-10.52
3_chlorophenol,-9.48
3_methoxyphenol,-10.49
3_nitroaniline,-10.46
3_nitrophenol,-12.62
4_chloroaniline,-8.16
4_chlorophenol,-10.2
4_hydroxybenzaldehyde,-12.07
4_nitroaniline,-12.29
acetaldehyde,-2.85
acetic_acid,-6.26
acetonitrile,-3.59
acetophenone,-6.79
aniline,-6.51
anisole,-5.71
anthracene,-10.67
benzaldehyde,-6.08
benzamide,-10.6
benzene,-4.21
benzonitrile,-6.36
benzyl_alcohol,-7.5
biphenyl,-8.58
bromobenzene,-5.99
butan_1_ol,-5.69
butanoic_acid,-7.32
butanone,-4.09
chlorobenzene,-5.42
cyclohexane,-4.18
cyclopentanol,-6.5
dichloromethane,-3.87
diethyl_ether,-3.39
diethylamine,-3.83
dimethylamine,-2.63
ethanamide,-6.16
ethane,-1.15
ethanol,-4.41
ethyl_acetate,-4.2
ethylamine,-2.89
ethylbenzene,-5.45
heptan_1_ol,-7.51
hexan_1_ol,-6.82
hexanoic_acid,-8.85
hydrazine,-3.08
hydrogen_sulfide,-0.6
iodobenzene,-6.64
iodoethane,-3.76
iodomethane,-3.51
m_cresol,-7.95
m_xylene,-5.56
methanol,-3.61
methyl_acetate,-3.71
methylamine,-2.32
n_butylamine,-4.24
n_octane,-5.62
n_propylamine,-3.65
naphthalene,-7.25
nitrobenzene,-6.85
nitromethane,-4.19
NN_dimethylformamide,-5.31
o_xylene,-5.58
octan_1_ol,-7.25
pentan_1_ol,-6.11
pentanoic_acid,-7.87
phenanthrene,-10.46
phenol,-8.75
piperidine,-4.82
propan_1_ol,-4.9
propanoic_acid,-6.75
propanone,-3.51
propionaldehyde,-3.85
pyrene,-12.11
pyridine,-4.81
tetrachloromethane,-4.39
toluene,-5.23
triethylamine,-4.44
trimethylamine,-2.78
