1112_tetrachloroethane,276.910,113.753,128.701
111_trichloroethane,259.566,100.972,117.635
111_trifluoro_222_trimethoxyethane,333.991,156.694,165.221
111_trifluoropropan_2_ol,258.479,101.306,117.369
111_trimethoxyethane,318.573,141.210,154.482
1122_tetrachloroethane,276.123,111.928,127.856
112_trichloro_122_trifluoroethane,279.188,118.426,130.850
112_trichloroethane,256.406,97.031,115.112
11_diacetoxyethane,370.845,161.619,182.854
11_dichloroethane,239.215,84.330,104.162
11_dichloroethene,229.294,75.813,97.554
11_diethoxyethane,367.308,158.767,180.570
11_difluoroethane,213.302,67.247,88.082
1234_tetrachlorobenzene,336.145,153.454,167.754
1235_tetrachlorobenzene,339.066,153.469,168.795
123_trichlorobenzene,317.528,139.306,155.271
123_trimethylbenzene,339.295,159.369,170.821
1245_tetrachlorobenzene,339.328,153.518,168.933
124_trichlorobenzene,320.495,139.339,156.350
124_trimethylbenzene,348.176,161.090,174.711
12_diacetoxyethane,377.017,157.368,184.967
12_dibromoethane,249.933,89.047,110.136
12_dichlorobenzene,298.853,125.121,142.763
12_dichloroethane,236.485,82.132,102.304
12_dichloropropane,265.653,105.347,121.541
12_diethoxyethane,373.794,154.723,181.842
12_dimethoxyethane,293.196,109.144,133.965
12_ethanediol,211.193,65.149,86.536
135_trichlorobenzene,323.146,139.314,157.265
135_trimethylbenzene,356.099,162.040,178.341
13_dichlorobenzene,301.567,125.145,143.733
13_dichloropropane,266.145,104.366,121.357
13_dimethylnaphthalene,384.914,188.105,199.482
14_dichlorobenzene,301.584,125.133,143.736
14_dichlorobutane,297.771,125.665,141.261
14_dimethyl_piperazine,320.414,145.628,156.570
14_dimethylnaphthalene,378.161,186.312,196.251
14_dioxane,253.030,96.150,113.285
1_bromo_2_chloroethane,244.325,85.522,106.704
1_bromo_2_methylpropane,276.281,116.213,129.133
1_bromobutane,289.875,117.176,135.622
1_bromoheptane,388.135,182.956,197.119
1_bromohexane,355.550,161.039,176.711
1_bromooctane,420.713,204.815,217.602
1_bromopentane,323.153,139.298,156.365
1_bromopropane,257.357,95.324,115.241
