1_bromo_2_chloroethane,-1.95,244.325,85.723,0.02,-1.77,1.79
1_bromo_2_methylpropane,-0.03,276.281,116.451,1.24,-0.95,2.19
1_bromobutane,-0.4,289.875,117.456,1.68,-0.97,2.65
1_bromoheptane,0.34,388.135,183.307,1.66,-0.97,2.63
1_bromohexane,0.18,355.55,161.361,1.78,-0.97,2.75
1_bromooctane,0.52,420.713,205.205,1.92,-0.97,2.89
1_bromopentane,-0.1,323.153,139.587,1.48,-0.96,2.44
1_bromopropane,-0.56,257.357,95.551,1.29,-0.98,2.27
1_chloro_222_trifluoroethane,0.06,241.315,87.524,0.16,-2.27,2.43
1_chlorobutane,-0.16,284.338,113.875,0.99,-1.22,2.21
1_chloroheptane,0.29,382.626,179.739,1.53,-1.21,2.74
1_chlorohexane,0,346.028,157.524,1.23,-1.23,2.46
1_chloropentane,-0.07,314.347,135.85,1.18,-1.22,2.4
1_chloropropane,-0.33,248.581,91.94,0.92,-1.25,2.17
1_ethylnaphthalene,-2.4,380.458,189.821,-3,-4.61,1.61
1_iodobutane,-0.25,298.809,123.616,0.58,-1.83,2.41
1_iodoheptane,0.27,397.16,189.511,1.19,-1.8,2.99
1_iodohexane,0.08,364.533,167.522,0.66,-1.81,2.47
1_iodopentane,-0.14,332.149,145.747,0.66,-1.82,2.48
1_iodopropane,-0.53,266.308,101.727,0,-1.87,1.87
1_methyl_imidazole,-8.41,252.912,91.948,-6.33,-7.06,0.73
1_methyl_pyrrole,-2.89,263.801,98.05,-2.59,-3.9,1.31
1_methylcyclohexene,0.67,312.121,140.696,1.33,-0.66,1.99
1_methylnaphthalene,-2.44,352.317,166.681,-3.24,-4.52,1.28
1_naphthol,-7.67,333.263,152.384,-7.51,-8.31,0.8
1_naphthylamine,-7.28,335.935,154.764,-7.76,-8.63,0.87
1_nitrobutane,-3.09,300.987,124.107,-1.51,-2.43,0.92
1_nitropentane,-2.82,333.209,145.935,-1.29,-2.4,1.11
1_nitropropane,-3.34,268.515,102.2,-1.38,-2.44,1.06
11_diacetoxyethane,-4.97,370.845,161.893,-7.9,-9.52,1.62
11_dichloroethane,-0.84,239.215,84.571,0.17,-1.64,1.81
11_dichloroethene,0.25,229.294,76.056,1.24,-0.85,2.09
11_diethoxyethane,-3.28,367.308,159.067,-2.18,-4.57,2.39
11_difluoroethane,-0.11,213.302,67.474,0.19,-2.41,2.6
111_trichloroethane,-0.19,259.566,101.256,0.75,-1.13,1.88
111_trifluoro_222_trimethoxyethane,-0.8,333.991,156.961,-2.26,-4.57,2.31
111_trifluoropropan_2_ol,-4.16,258.479,101.601,-3.56,-6.05,2.49
111_trimethoxyethane,-4.42,318.573,141.479,-3.89,-5.55,1.66
1112_tetrachloroethane,-1.28,276.91,114.018,0.11,-1.43,1.54
112_trichloro_122_trifluoroethane,1.77,279.188,118.715,1.53,-0.32,1.85
112_trichloroethane,-1.99,256.406,97.299,-0.5,-2.01,1.51
1122_tetrachloroethane,-2.47,276.123,112.201,-0.41,-1.88,1.47
12_diacetoxyethane,-6.34,377.017,157.814,-8.32,-9.93,1.61
12_dibromoethane,-2.33,249.933,89.252,0.19,-1.6,1.79
12_dichlorobenzene,-1.36,298.853,125.448,-0.64,-1.96,1.32
12_dichloroethane,-1.79,236.485,82.34,-0.52,-2.15,1.63
12_dichloropropane,-1.27,265.653,105.604,-0.2,-2.13,1.93
12_diethoxyethane,-3.54,373.794,155.082,-3.08,-5.47,2.39
12_dimethoxyethane,-4.84,293.196,109.378,-3.36,-5.29,1.93
12_ethanediol,-9.3,211.193,65.376,-7.62,-8.71,1.09
123_trichlorobenzene,-1.24,317.528,139.646,-0.38,-1.67,1.29
123_trimethylbenzene,-1.21,339.295,159.616,-0.65,-2.79,2.14
1234_tetrachlorobenzene,-1.34,336.145,153.831,-0.32,-1.25,0.93
1235_tetrachlorobenzene,-1.62,339.066,153.867,-0.02,-0.92,0.9
124_trichlorobenzene,-1.12,320.495,139.721,-0.18,-1.35,1.17
124_trimethylbenzene,-0.86,348.176,161.397,-0.36,-2.75,2.39
1245_tetrachlorobenzene,-1.34,339.328,153.922,0.25,-0.97,1.22
13_dichlorobenzene,-0.98,301.567,125.472,0.01,-1.6,1.61
13_dichloropropane,-1.89,266.145,104.688,-0.38,-2.18,1.8
13_dimethylnaphthalene,-2.47,384.914,188.436,-2.79,-4.5,1.71
135_trichlorobenzene,-0.78,323.146,139.718,0.45,-0.96,1.41
135_trimethylbenzene,-0.9,356.099,162.34,0.04,-2.73,2.77
14_dichlorobenzene,-1.01,301.584,125.475,-0.1,-1.63,1.53
14_dichlorobutane,-2.32,297.771,126.011,-0.27,-2.38,2.11
14_dimethyl_piperazine,-7.58,320.414,146.012,-7.4,-8.2,0.8
14_dimethylnaphthalene,-2.82,378.161,186.636,-3.29,-4.5,1.21
14_dioxane,-5.06,253.03,96.389,-4.35,-4.71,0.36
2_bromo_2_methylpropane,0.84,279.174,120.138,0.89,-1.25,2.14
2_bromopropane,-0.48,254.608,96.846,0.97,-1.16,2.13
2_butoxyethanol,-6.25,358.689,154.227,-4.07,-5.94,1.87
2_chloro_111_trimethoxyethane,-4.59,329.994,156.443,-3.3,-5.4,2.1
2_chloro_2_methylpropane,1.09,274.434,116.295,0.82,-1.44,2.26
2_chloroaniline,-4.91,290.465,119.546,-4.96,-6.04,1.08
2_chlorobutane,0,279.072,114.829,1.21,-1.35,2.56
2_chlorophenol,-4.55,287.566,117.083,-3.23,-4.51,1.28
2_chloropropane,-0.25,249.597,93.205,0.82,-1.4,2.22
2_chloropyridine,-4.39,271.707,105.163,-3.36,-4.85,1.49
2_chlorotoluene,-1.14,307.339,132.742,-0.51,-2.18,1.67
2_ethoxyethanol,-6.69,292.494,110.223,-4.77,-6.41,1.64
2_ethylpyrazine,-5.45,305.859,129.298,-5.68,-6.94,1.26
2_ethylpyridine,-4.33,315.525,135.536,-3.21,-4.96,1.75
2_ethyltoluene,-1.04,340.861,161.034,-0.66,-2.85,2.19
2_fluorophenol,-5.29,275.832,109.048,-3.24,-4.89,1.65
2_iodophenol,-6.2,301.299,126.841,-2.91,-3.93,1.02
2_iodopropane,-0.46,263.006,103.287,0.29,-1.97,2.26
2_isobutylpyrazine,-5.04,348.52,172.355,-5.1,-6.81,1.71
2_methoxy_111_trimethoxyethane,-5.73,365.709,170.416,-5.97,-7.61,1.64
2_methoxyaniline,-6.12,314.217,134.713,-6.53,-7.69,1.16
2_methoxyethanamine,-6.55,256.603,89.97,-5.62,-7.04,1.42
2_methoxyethanol,-6.76,251.521,87.388,-5.37,-6.92,1.55
2_methoxyphenol,-5.57,311.73,132.27,-4.74,-6,1.26
2_methyl_but_2_ene,1.31,281.581,110.543,2.38,-0.56,2.94
2_methylbut_2_ene,1.31,281.581,110.543,2.28,-0.55,2.83
2_methylbuta_13_diene,0.68,265.22,101.448,1.81,-1.12,2.93
2_methylbutan_1_ol,-4.42,291.255,126.657,-2.78,-4.88,2.1
2_methylbutan_2_ol,-4.43,291.066,129.173,-2.96,-5.17,2.21
2_methylbutane,2.38,281.312,121.501,2.52,0.01,2.51
2_methylhexane,2.93,346.182,165.124,3,0.01,2.99
2_methylpent_1_ene,1.47,310.494,134.357,2.75,-0.4,3.15
2_methylpentan_2_ol,-3.92,323.413,150.935,-2.79,-5.13,2.34
2_methylpentan_3_ol,-3.88,322.177,149.668,-2.19,-4.75,2.56
2_methylpentane,2.51,317.786,144.199,2.78,0.01,2.77
2_methylpropan_1_ol,-4.5,264.042,105.456,-2.96,-5.02,2.06
2_methylpropan_2_ol,-4.47,264.779,107.722,-3.09,-5.31,2.22
2_methylpropane,2.32,258.324,101.53,2.74,0.01,2.73
2_methylpropene,1.16,249.174,90.464,2.34,-0.45,2.79
2_methylpyrazine,-5.51,273.893,106.398,-6.1,-6.99,0.89
2_methylpyridine,-4.63,283.654,112.58,-3.41,-4.95,1.54
