test_lambda_0.0,0.000000,-2.904995,-13.652043,10.747048
test_lambda_0.1,0.000000,-2.901365,-13.648413,10.747048
test_lambda_0.2,0.000000,-2.894525,-13.641573,10.747048
test_lambda_0.3,0.000000,-2.878883,-13.625931,10.747048
test_lambda_0.4,0.000000,-2.850196,-13.597243,10.747048
test_lambda_0.5,0.000000,-2.817330,-13.564378,10.747048
test_lambda_0.6,0.000000,-2.843092,-13.590140,10.747048
test_lambda_0.7,0.000000,-3.234203,-13.981251,10.747048
test_lambda_0.8,0.000000,-5.338791,-16.085839,10.747048
test_lambda_0.9,0.000000,-15.688690,-26.435738,10.747048
test_lambda_1.0,0.000000,-359.315812,-370.062859,10.747048
test_lambda_0.0,0.000000,-5.375643,-16.122691,10.747048
test_lambda_0.1,0.000000,-5.374269,-16.121317,10.747048
test_lambda_0.2,0.000000,-5.372056,-16.119104,10.747048
test_lambda_0.3,0.000000,-5.366046,-16.113094,10.747048
test_lambda_0.4,0.000000,-5.357503,-16.104551,10.747048
test_lambda_0.5,0.000000,-5.367821,-16.114869,10.747048
test_lambda_0.6,0.000000,-5.487671,-16.234719,10.747048
test_lambda_0.7,0.000000,-6.098428,-16.845476,10.747048
test_lambda_0.8,0.000000,-8.806965,-19.554013,10.747048
test_lambda_0.9,0.000000,-22.155086,-32.902134,10.747048
test_lambda_1.0,0.000000,-794.316071,-805.063119,10.747048
